Latitude,Longitude
53.533839,-2.241839
53.537323,-2.234782
53.536556,-2.23603
53.537323,-2.234782
53.537089,-2.239534
53.536159,-2.232573
53.536159,-2.232573
53.533839,-2.241839
53.537343,-2.233968
53.536159,-2.232573
53.536927,-2.234976
53.533839,-2.241839
53.536556,-2.23603
53.536556,-2.23603
53.536159,-2.232573
53.536556,-2.23603
53.536556,-2.23603
53.536556,-2.23603
53.536159,-2.232573
53.536159,-2.232573
53.536159,-2.232573
53.536556,-2.23603
53.537629,-2.234648
53.537292,-2.232111
53.534708,-2.229789
53.537323,-2.234782
53.536927,-2.234976
53.537323,-2.234782
53.537629,-2.234648
53.533839,-2.241839
53.53674,-2.214847
53.535858,-2.210709
53.534294,-2.215574
53.534025,-2.210157
53.535554,-2.214796
53.534294,-2.215574
53.534294,-2.215574
53.536575,-2.216733
53.536575,-2.216733
53.536575,-2.216733
53.536575,-2.216733
53.537404,-2.215485
53.535622,-2.211975
53.534294,-2.215574
53.533138,-2.213954
53.53674,-2.214847
53.534562,-2.211547
53.533138,-2.213954
53.535622,-2.211975
53.537826,-2.215834
53.534206,-2.214714
53.53342,-2.211798
53.535554,-2.214796
53.537826,-2.215834
53.535858,-2.210709
53.537826,-2.215834
53.533138,-2.213954
53.535296,-2.213045
53.535118,-2.21241
53.533138,-2.213954
53.535118,-2.21241
53.535554,-2.214796
53.53361,-2.220791
53.536614,-2.219796
53.535321,-2.219155
53.53361,-2.220791
53.53361,-2.220791
53.536614,-2.219796
53.537756,-2.224615
53.538975,-2.226417
53.538975,-2.226417
53.536614,-2.219796
53.53361,-2.220791
53.538975,-2.226417
53.538975,-2.226417
53.534052,-2.224912
53.537756,-2.224615
53.536682,-2.226706
53.535794,-2.221149
53.534153,-2.219044
53.538975,-2.226417
53.537756,-2.224615
53.536614,-2.219796
53.536614,-2.219796
53.538975,-2.226417
53.538975,-2.226417
53.534284,-2.226075
53.538975,-2.226417
53.536614,-2.219796
53.538975,-2.226417
53.5353,-2.235239
53.5353,-2.235239
53.534958,-2.240035
53.5353,-2.235239
53.534958,-2.240035
53.535915,-2.237551
53.535915,-2.237551
53.535915,-2.237551
53.532978,-2.231877
53.534357,-2.239005
53.534958,-2.240035
53.535915,-2.237551
53.5353,-2.235239
53.5353,-2.235239
53.527594,-2.227141
53.532927,-2.230639
53.532351,-2.226382
53.528125,-2.227143
53.528125,-2.227143
53.532864,-2.225781
53.526181,-2.22834
53.532864,-2.225781
53.531721,-2.226755
53.532351,-2.226382
53.532864,-2.225781
53.52749,-2.225179
53.527594,-2.227141
53.527594,-2.227141
53.532469,-2.23035
53.532527,-2.227936
53.531377,-2.227719
53.52749,-2.225179
53.532527,-2.227936
53.527594,-2.227141
53.52749,-2.225179
53.531446,-2.22962
53.529031,-2.227918
53.529031,-2.227918
53.531721,-2.226755
53.532864,-2.225781
53.531622,-2.221912
53.529206,-2.220964
53.529592,-2.216335
53.53229,-2.215594
53.529206,-2.220964
53.527694,-2.222073
53.5315,-2.215062
53.530872,-2.21429
53.530287,-2.214498
53.528821,-2.219921
53.529206,-2.220964
53.5323,-2.220045
53.532472,-2.219186
53.5323,-2.220045
53.5315,-2.215062
53.529206,-2.220964
53.529206,-2.220964
53.5323,-2.220045
53.53268,-2.218191
53.531217,-2.212194
53.531574,-2.203522
53.528325,-2.205799
53.531449,-2.208364
53.531217,-2.212194
53.531574,-2.203522
53.532991,-2.210212
53.531574,-2.203522
53.532628,-2.212262
53.531449,-2.208364
53.532628,-2.212262
53.532628,-2.212262
53.531449,-2.208364
53.532603,-2.211175
53.531221,-2.204893
53.531574,-2.203522
53.531574,-2.203522
53.531574,-2.203522
53.531574,-2.203522
53.531574,-2.203522
53.532628,-2.212262
53.531574,-2.203522
53.531445,-2.210174
53.531574,-2.203522
53.530363,-2.207438
53.531574,-2.203522
53.524435,-2.214785
53.524435,-2.214785
53.524773,-2.216763
53.524435,-2.214785
53.525088,-2.2169
53.531575,-2.21289
53.524435,-2.214785
53.525061,-2.211832
53.524435,-2.214785
53.526065,-2.213285
53.525061,-2.211832
53.525061,-2.211832
53.52959,-2.212518
53.52959,-2.212518
53.526065,-2.213285
53.52959,-2.212518
53.525417,-2.208666
53.52676,-2.206168
53.52676,-2.206168
53.527482,-2.209792
53.52676,-2.206168
53.52676,-2.206168
53.52676,-2.206168
53.525165,-2.209027
53.523699,-2.198506
53.525417,-2.208666
53.523699,-2.198506
